Date caught,Net location ,Net soak time (h),Net entanglement side (east or west),Water depth (m),Sea surface temperature (degrees C),Species,TagID,Necropsy ID,Total mass (kg),Disc width (cm),Disc length (cm),Sex,Maturity,Stage,Gravid,Embryo mass (kg),Relative embryo mass (%),Clasper calcification,Clasper length inner (mm),Clasper length outer (mm),Liver mass (kg),H_S_I,Stomach full mass (g),Stomach empty mass (g) ,Stomach contents mass (g),Gross stomach contents,Spiral valve mass (g),Uteri diameter (mm) ,Uteri length (mm),No. of yolk follicles left ovary,Smallest yolk follicle,MOD,Ovary weight left (g),Oviductal gland left width (mm),Retain ovaries?,Testes weight left (g),Testes weight right (g),Epigonal mass left (g),Epigonal mass right (g),Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB5260417EVANSHEAD,Me10,24.8,113.60,68.00,Female,Adult,Gravid,Yes,0.0614,0.247580645,NA,NA,NA,0.878,3.5,197,170,27,TBA,NA,79,122.1,30,10.01,30,NA,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,,,,,,Mobula eregoodootenkee,NA,Me10_embryo,0.0614,16.00,9.90,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB3260417EVANSHEAD,Me11,20.2,117.50,69.00,Female,Adult,Gravid,Yes,0.0763,0.377722772,NA,NA,NA,0.753,3.7,337,176,161,TBA,NA,92,126,14,8.07,20.06,NA,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,,,,,,Mobula eregoodootenkee,NA,Me11_embryo,0.0763,17.00,11.00,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Evans Head,23.82,West,7.0,21.0,Mobula eregoodootenkee,MOB2270417EVANS,Me12,16,111.00,65.00,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.678,4.2,337,144,193,TBA,NA,48.1,89,21,11,30,NA,11.06,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB2260417EVANSHEAD,Me13,18.6,112.50,68.00,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.883,4.7,365.0,135,230,TBA,NA,68,125,14,4.04,15.03,NA,11.7,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/04/2017,Evans Head,8.83,West,7.0,19.5,Mobula eregoodootenkee,MOB290414EVANS,Me14,13,105.00,58.00,Male,Adult,Adult,NA,NA,NA,2,101,40.1,0.606,4.7,118,97,21,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,22,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Evans Head,23.82,West,7.0,21.0,Mobula eregoodootenkee,MOB4270417EVANS,Me15,14,106.00,61.00,Male,Adult,Adult,NA,NA,NA,2,103.3,38.6,0.736,5.3,226,113,113,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,9,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Evans Head,23.82,West,7.0,21.0,Mobula eregoodootenkee,MOB1270417EVANS,Me16,15,99.00,62.00,Male,Adult,Adult,NA,NA,NA,NA,NA,NA,0.887,5.9,156,117,39,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,26,12,10,Claspers had been damaged prior to dissection ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/04/2017,Evans Head,13.83,West,7.0,21.0,Mobula eregoodootenkee,MOB1250417EVANSHEAD,Me17,16.2,107.00,62.10,Male,Adult,Adult,NA,NA,NA,2,92.6,40.5,0.782,4.8,272,116,156,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,Testes liquefied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2017,Lighthouse,25.07,East,10.0,21.9,Mobula eregoodootenkee,mobere-240417-1-sk,Me18,17.2,110.00,66.60,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.939,5.5,164,134,30,TBA,NA,23.2,89.8,21,11,30,,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/04/2017,Evans Head,23.82,West,7.0,21.0,Mobula eregoodootenkee,MOB6270417EVANS,Me19,18.2,115.00,70.30,Female,Adult,Preovulating,No,NA,NA,NA,NA,NA,0.545,3.0,220,146,74,TBA,NA,88.3,134.8,22,4.6,8.4,38,10.4,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,Lennox,19.95,East,9.0,22.4,Mobula eregoodootenkee,mobere-100417-1-sk,Me20,19.4,112.00,69.10,Female,Adult,Gravid,Yes,0.0405,0.208762887,NA,NA,NA,0.851,4.4,337,167,170,TBA,NA,107.7,147.6,20,5,9.3,56,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,,,,,,Mobula eregoodootenkee,NA,Me20_embryo,0.0405,14.30,92.00,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,Evans Head,9.08,East,7.0,21.0,Mobula eregoodootenkee,MOB10/04/17EVANS EP,Me21,18.9,112.00,59.00,Female,Adult,Gravid,Yes,0.0805,0.425925926,NA,NA,NA,0.736,3.9,198,168,30,TBA,NA,110.8,144,21,4.8,13.2,50,11,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,,,,,,Mobula eregoodootenkee,NA,Me21_embryo,0.0805,16.80,10.90,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,Lennox,19.95,East,9.0,22.4,Mobula eregoodootenkee,mobere-100417-3-sk,Me22,17.5,117.00,67.40,Female,Adult,Gravid,Yes,0.0702,0.401142857,NA,NA,NA,0.559,3.2,313,185,128,TBA,NA,90.5,145.1,32,4.5,9.2,43,14.6,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,,,,,,Mobula eregoodootenkee,NA,Me22_embryo,0.0702,16.40,10.80,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2017,Evans Head,10.17,East,7.0,22.0,Mobula eregoodootenkee,MOB1240417EVANSHEAD,Me23,14.9,103.20,62.00,Male,Adult,Adult,NA,NA,NA,3,104.5,41.9,0.747,5.0,204,100,104,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,16,11,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/04/2017,Lennox,24.25,East,9.0,22.1,Mobula eregoodootenkee,mobere170417,Me24,10.8,92.50,55.90,Female,Maturing,Maturing ovulating ,No,NA,NA,NA,NA,NA,0.532,4.9,123,84,39,TBA,NA,19,62,7,3.5,10.4,NA,7,Yes,NA,NA,NA,NA,Ovaries liquefying,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/04/2017,Evans Head,10.17,East,7.0,22.0,Mobula eregoodootenkee,MOB2240417EVANSHEAD,Me25,15.5,104.20,62.10,Male,Adult,Adult,NA,NA,NA,2,92.3,34.7,0.713,4.6,134,111,23,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,6,11,16,Parts of right testes liquefied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/04/2017,Evans Head,23.88,West,7.0,22.3,Mobula eregoodootenkee,MOB4260417EVANSHEAD,Me26,14.1,103.00,59.80,Male,Adult,Adult,NA,NA,NA,2,94.7,41.7,0.682,4.8,185,113,72,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,17,5,6,Parts of right testes liquefied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,Lennox,19.95,East,9.0,22.4,Mobula eregoodootenkee,mobere-100417-2-sk,Me27,21.2,117.50,70.50,Female,Adult,Gravid,Yes,0.0078,0.036792453,NA,NA,NA,0.805,3.8,266,198,68,TBA,NA,68.5,120.2,27,4.5,11.7,77,15.7,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/04/2017,,,,,,Mobula eregoodootenkee,NA,Me27_embryo,0.0078,7.00,5.80,Female,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2017,Lennox,93.45,East,9.00,20.70,Mobula eregoodootenkee,mobere-240517-3-sk,Me28,14.8,108.00,62.20,Male,Adult,Adult,NA,NA,NA,2,92,43,0.774,5.2,150,127,23,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,32,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/05/2017,Lennox,20.68,West,9.50,20.00,Mobula eregoodootenkee,mobere-200517-2,Me29,13.2,107.00,62.00,Male,Adult,Adult,NA,NA,NA,3,91.5,41,0.462,3.5,190,125,65,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,29,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2017,Lennox,93.45,West,9.00,20.70,Mobula eregoodootenkee,mobere-240517-2-sk,Me30,20.2,115.00,71.20,Female,Adult,Gravid,Yes,0.146,0.722772277,NA,NA,NA,0.963,4.8,198,164,34,TBA,NA,130,149,16,2,7.4,9*,NA,Yes,NA,NA,NA,NA,The ovaries were liquefied so weight not representative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2017,,,,,,Mobula eregoodootenkee,NA,Me30_embryo,0.146,21.20,12.80,Male,Embryo ,Embryo ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/05/2017,Lennox,93.45,West,9.00,20.70,Mobula eregoodootenkee,mobere-240517-1-sk,Me31,13.1,99.00,61.00,Male,Adult,Adult,NA,NA,NA,3,92,39,0.804,6.1,136,127,9,TBA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,23,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECOND TRIAL BELOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,46.28,East,11,23,Mobula eregoodootenkee,mobere-271117-LE4,Me60,16.6,118.1,67.1,Female,Adult,Mature ovulating ,No,NA,NA,NA,NA,NA,0.691,4.16,349,149,200,TBA,NA,45.6,94.68,23,4.72,13.94,9*,NA,Yes,NA,NA,NA,NA,Ovaries mildly autolysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,46.28,East,11,23,Mobula eregoodootenkee,mobere-271117-LE3,Me52,15.2,112.30,63.4,Female,Adult,Mature ovulating ,No,NA,NA,NA,NA,NA,0.63,4.14,175,156,19,TBA,NA,53.45,94.4,25,5.6,18.1,47,NA,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/11/2017,Lennox,46.28,East,11,23,Mobula eregoodootenkee,mobere-271117-LE1,Me56,15.4,111,62.4,Female,Adult,Gravid,Yes,0.545,3.538961039,NA,NA,NA,0.627,4.07,295,132,163,TBA,NA,135.12,215,18,4.06,15.3,16*,NA,Yes,NA,NA,NA,NA,Ovaries mildly autolysed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
